# Cactus benchmark results
#    processes = procs
#    nodes     = procs / ppn
#
# benchmark steps size machine   procs ppn tpp iter   walltime cputime
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000002 01 01 00   6.33382911 5.87236700
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000002 02 01 00   5.96964010 5.93637100
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000002 02 02 00   7.29277591 14.46490400
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000004 02 01 00   7.00679203 6.95243500
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000004 02 02 00   7.28190604 14.40890100
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000004 04 01 00   7.39037288 7.27645500
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000004 04 02 00   7.32937108 14.50890700
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000004 04 04 00   8.60219097 34.09013100
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000008 01 01 00   8.12123189 8.02050200
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000008 04 01 00   8.81126406 8.66854200
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000008 08 01 00   9.13866600 9.07656700
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000008 08 02 00   9.25630390 18.24914100
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000008 08 04 00   10.98447007 42.67866800
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000008 08 08 00   35.06939410 138.42065100
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000016 02 01 00   9.26374206 9.16457300
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000016 02 02 00   11.24885506 22.12938300
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000016 08 01 00   10.40393910 10.21263800
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000016 08 02 00   11.91374802 23.31345700
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000016 08 04 00   12.65043507 49.43909000
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000016 08 08 00   26.49654803 104.11050700
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000016 16 01 00   12.52448408 12.00075000
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000016 16 02 00   12.90677600 25.47759300
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000016 16 04 00   13.05745196 50.93918400
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000032 04 01 00   11.13310790 10.96468500
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000032 04 02 00   11.81477495 23.24145200
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000032 04 04 00   14.43568300 56.52353300
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000032 08 01 00   11.22914309 11.00468800
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000032 08 02 00   12.58149191 24.69354400
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000032 08 04 00   14.50079411 56.49553100
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000032 08 08 00   29.62056695 114.75117200
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000032 16 01 00   13.74530603 13.50084400
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000032 16 02 00   14.12603388 27.59772500
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000032 16 04 00   15.14372910 59.00368800
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000032 16 08 00   30.03008591 116.55128400
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000032 16 16 00   57.61731895 217.40158600
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000064 08 02 00   14.19756204 27.58572400
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000064 08 04 00   17.49095106 66.77217300
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000064 08 08 00   36.84150000 139.50071900
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000064 16 01 00   18.30384488 18.12113300
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000064 16 02 00   16.16594910 31.08194300
