# Cactus benchmark results
#    processes = procs
#    nodes     = procs / ppn
#
# benchmark steps size machine   procs ppn tpp iter   walltime cputime
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000064 16 16 10   16.25388805 62.47590500
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000128 16 01 00   5.82006290 5.18432400
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000128 16 01 01   7.43451891 6.49640600
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000128 16 01 02   5.98891395 5.38433700
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000128 16 01 03   4.55058298 3.30420600
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000128 16 01 04   4.76678709 4.09225600
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000128 16 01 10   3.76777805 3.14819700
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000128 16 16 10   23.88651510 67.14819700
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000256 16 01 10   3.80871399 3.56422200
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000256 16 16 10   20.29820700 72.94855900
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000512 16 01 10   4.67119491 4.04425300
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   000512 16 16 10   21.82088991 71.61247600
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   001024 16 01 00   22.84345598 21.96137300
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   001024 16 01 01   27.63632290 26.23764000
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   001024 16 01 02   34.58515396 33.53409500
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   001024 16 01 03   4.95634597 4.02825100
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   001024 16 01 04   5.71440997 4.49628100
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   001024 16 01 10   5.31786888 5.19232400
Bench_McLachlan_Carpet_1lev 000010 0020 ranger   001024 16 16 10   22.51597893 72.27251700
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000016 16 01 10   5.61377211 5.06031700
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000016 16 16 10   22.88123004 89.01756300
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000032 16 01 10   5.69089792 5.61235100
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000032 16 16 10   23.85797404 92.01375000
