# Cactus benchmark results
#    processes = procs
#    nodes     = procs / ppn
#
# benchmark steps size machine   procs ppn tpp iter   walltime cputime
Bench_McLachlan_Carpet_9lev 000064 0025 franklin   000512 02 01 02   227.63041401 226.33814500
Bench_McLachlan_Carpet_9lev 000064 0025 franklin   001024 02 01 00   327.92965484 325.51234300
Bench_McLachlan_Carpet_9lev 000064 0025 franklin   001024 02 01 01   327.49253893 325.29632900
Bench_McLachlan_Carpet_9lev 000064 0025 franklin   001024 02 01 02   325.39526582 323.16019600
Bench_McLachlan_Carpet_9lev 000064 0025 franklin   002048 02 01 00   712.29500508 709.43633700
Bench_McLachlan_Carpet_9lev 000064 0025 franklin   002048 02 01 01   713.16872311 710.29639100
Bench_McLachlan_Carpet_9lev 000064 0025 franklin   002048 02 01 02   712.48956800 709.46433900
Bench_McLachlan_PUGH 000010 0020 franklin   000001 01 01 00   5.72222400 5.64835300
Bench_McLachlan_PUGH 000010 0020 franklin   000002 02 01 00   6.11291409 5.94037200
Bench_McLachlan_PUGH 000010 0020 franklin   000004 02 01 00   6.43897104 6.29239300
Bench_McLachlan_PUGH 000010 0020 franklin   000008 02 01 00   6.94543290 6.79642400
Bench_McLachlan_PUGH 000010 0020 franklin   000016 02 01 00   7.23782706 7.09644300
Bench_McLachlan_PUGH 000010 0020 franklin   000032 02 01 00   7.73347282 7.53647100
Bench_McLachlan_PUGH 000010 0025 franklin   000001 01 01 00   7.62640595 7.52047000
Bench_McLachlan_PUGH 000010 0025 franklin   000002 02 01 00   8.79519200 8.69654400
Bench_McLachlan_PUGH 000010 0025 franklin   000004 02 01 00   9.06809998 8.86455400
Bench_McLachlan_PUGH 000010 0025 franklin   000008 02 01 00   10.82956791 10.58866200
Bench_McLachlan_PUGH 000010 0025 franklin   000016 02 01 00   10.98954296 10.78067400
Bench_McLachlan_PUGH 000010 0025 franklin   000032 02 01 00   11.26236987 11.06869100
Bench_McLachlan_PUGH 000010 0030 franklin   000001 01 01 00   12.76848292 12.67279200
Bench_McLachlan_PUGH 000010 0030 franklin   000002 02 01 00   12.22449207 12.09675600
Bench_McLachlan_PUGH 000010 0030 franklin   000004 02 01 00   12.40155697 12.20876300
Bench_McLachlan_PUGH 000010 0030 franklin   000008 02 01 00   12.96494603 12.72479500
Bench_McLachlan_PUGH 000010 0030 franklin   000016 02 01 00   14.68548894 14.45690300
Bench_McLachlan_PUGH 000010 0030 franklin   000032 02 01 00   15.11185098 14.90093200
Bench_McLachlan_PUGH 000010 0040 franklin   000001 01 01 00   21.29945898 21.16532300
Bench_McLachlan_PUGH 000010 0040 franklin   000002 02 01 00   24.63409901 24.39352400
Bench_McLachlan_PUGH 000010 0040 franklin   000004 02 01 00   22.29525208 21.95337200
Bench_McLachlan_PUGH 000010 0040 franklin   000008 02 01 00   23.89167190 23.49746800
Bench_McLachlan_PUGH 000010 0040 franklin   000016 02 01 00   27.33813095 26.99368700
Bench_McLachlan_PUGH 000010 0040 franklin   000032 02 01 00   29.09965086 28.72579500
Bench_McLachlan_PUGH 000010 0050 franklin   000001 01 01 00   32.11365700 31.92999500
Bench_McLachlan_PUGH 000010 0050 franklin   000002 02 01 00   39.76607800 39.35045900
Bench_McLachlan_PUGH 000010 0050 franklin   000004 02 01 00   38.02924609 37.59035000
Bench_McLachlan_PUGH 000010 0050 franklin   000008 02 01 00   46.71600008 46.20288800
Bench_McLachlan_PUGH 000010 0050 franklin   000016 02 01 00   47.58612299 47.12294500
Bench_McLachlan_PUGH 000010 0050 franklin   000032 02 01 00   48.41749597 47.94699600
Bench_McLachlan_PUGH 000010 0065 franklin   000001 01 01 00   78.90419388 78.59691200
Bench_McLachlan_PUGH 000010 0065 franklin   000002 02 01 00   75.42339993 74.86467800
Bench_McLachlan_PUGH 000010 0065 franklin   000002 02 01 01   77.40122199 76.82080100
Bench_McLachlan_PUGH 000010 0065 franklin   000002 02 01 02   77.60891008 77.01681300
Bench_McLachlan_PUGH 000010 0065 franklin   000004 02 01 00   99.71154785 98.99418600
Bench_McLachlan_PUGH 000010 0065 franklin   000004 02 01 01   102.11889410 101.46234100
Bench_McLachlan_PUGH 000010 0065 franklin   000004 02 01 02   102.12525010 101.41833900
Bench_McLachlan_PUGH 000010 0065 franklin   000008 02 01 00   91.61327195 90.90568100
Bench_McLachlan_PUGH 000010 0065 franklin   000008 02 01 01   93.60091090 92.72579500
Bench_McLachlan_PUGH 000010 0065 franklin   000008 02 01 02   93.56163907 92.92580800
Bench_McLachlan_PUGH 000010 0065 franklin   000016 02 01 00   93.26632714 92.45777800
Bench_McLachlan_PUGH 000010 0065 franklin   000016 02 01 01   95.23131299 94.40190000
Bench_McLachlan_PUGH 000010 0065 franklin   000016 02 01 02   95.28425288 94.53790900
Bench_McLachlan_PUGH 000010 0065 franklin   000032 02 01 00   110.05676389 109.32283300
Bench_McLachlan_PUGH 000010 0065 franklin   000032 02 01 01   112.55867600 111.73898400
Bench_McLachlan_PUGH 000010 0065 franklin   000032 02 01 02   112.73317719 112.08300500
Bench_McLachlan_PUGH 000010 0065 franklin   000064 02 01 00   112.21993899 111.39896200
Bench_McLachlan_PUGH 000010 0065 franklin   000064 02 01 01   114.77440715 114.05512800
Bench_McLachlan_PUGH 000010 0065 franklin   000064 02 01 02   114.88654184 114.13513300
Bench_McLachlan_PUGH 000010 0065 franklin   000128 02 01 00   112.70041299 111.86299100
Bench_McLachlan_PUGH 000010 0065 franklin   000128 02 01 01   115.39374995 114.68316800
Bench_McLachlan_PUGH 000010 0065 franklin   000128 02 01 02   115.59180212 114.79917500
Bench_McLachlan_PUGH 000010 0065 franklin   000256 02 01 00   113.61489201 112.75104700
Bench_McLachlan_PUGH 000010 0065 franklin   000256 02 01 01   116.28590298 115.26720400
Bench_McLachlan_PUGH 000010 0065 franklin   000256 02 01 02   116.90821815 116.25526600
Bench_McLachlan_PUGH 000010 0065 franklin   000512 02 01 00   114.37361193 113.53509600
Bench_McLachlan_PUGH 000010 0065 franklin   000512 02 01 01   117.81992078 116.91930700
Bench_McLachlan_PUGH 000010 0065 franklin   000512 02 01 02   116.64009380 115.84324000
Bench_McLachlan_PUGH 000010 0065 franklin   001024 02 01 00   115.08335400 114.37514800
Bench_McLachlan_PUGH 000010 0065 franklin   001024 02 01 01   117.59640813 116.69129300
Bench_McLachlan_PUGH 000010 0065 franklin   001024 02 01 02   119.54140902 118.83942700
Bench_McLachlan_PUGH 000010 0065 franklin   002048 02 01 00   116.07377219 115.28720500
Bench_McLachlan_PUGH 000010 0065 franklin   002048 02 01 01   119.73635578 118.90343100
Bench_McLachlan_PUGH 000010 0065 franklin   002048 02 01 02   118.81609297 118.05137800
Bench_McLachlan_PUGH 000010 0065 franklin   004096 02 01 00   120.37425494 119.66347800
Bench_McLachlan_PUGH 000010 0065 franklin   004096 02 01 01   120.44514513 119.70348100
Bench_McLachlan_PUGH 000010 0065 franklin   004096 02 01 02   120.27995110 119.42746400
Bench_McLachlan_PUGH 000010 0065 franklin   008192 02 01 00   126.00390911 125.27982900
Bench_McLachlan_PUGH 000010 0065 franklin   008192 02 01 01   123.52590895 122.82367600
Bench_McLachlan_PUGH 000010 0065 franklin   008192 02 01 02   120.61356211 119.92349500
Bench_McLachlan_PUGH 000010 0080 franklin   000001 01 01 00   120.97272706 120.41552500
Bench_McLachlan_PUGH 000010 0080 franklin   000002 02 01 00   174.06312609 173.13882100
Bench_McLachlan_PUGH 000010 0080 franklin   000004 02 01 00   140.47351789 139.39271100
Bench_McLachlan_PUGH 000010 0080 franklin   000008 02 01 00   161.85871696 160.62603800
Bench_McLachlan_PUGH 000010 0080 franklin   000016 02 01 00   167.72022700 166.65841500
Bench_McLachlan_PUGH 000010 0080 franklin   000032 02 01 00   174.04942107 172.92280700
